MYS,Asia,Malaysia,1/10/2020,11135,0,134,0,344.034,4.14,32365998
NAM,Africa,Namibia,1/10/2020,11265,125,121,0,4433.441,47.621,2540916
NCL,Oceania,New Caledonia,1/10/2020,27,0,0,0,94.574,0,285491
NER,Africa,Niger,1/10/2020,1197,1,69,0,49.449,2.85,24206636
NGA,Africa,Nigeria,1/10/2020,58848,201,1112,1,285.476,5.394,206139587
NIC,North America,Nicaragua,1/10/2020,5086,0,149,0,767.75,22.492,6624554
NLD,Europe,Netherlands,1/10/2020,120713,3293,6397,13,7044.873,373.332,17134873
NOR,Europe,Norway,1/10/2020,13914,126,274,0,2566.571,50.542,5421242
NPL,Asia,Nepal,1/10/2020,77817,1559,498,7,2670.746,17.092,29136808
NZL,Oceania,New Zealand,1/10/2020,1480,0,25,0,306.912,5.184,4822233
OMN,Asia,Oman,1/10/2020,98585,0,935,0,19305.326,183.096,5106622
PAK,Asia,Pakistan,1/10/2020,312806,543,6484,5,1416.102,29.354,220892331
PAN,North America,Panama,1/10/2020,112595,742,2372,8,26095.262,549.74,4314768
PER,South America,Peru,1/10/2020,814829,3061,32463,67,24712.872,984.567,32971846
PHL,Asia,Philippines,1/10/2020,309303,0,5448,0,2822.595,49.717,109581085
PNG,Oceania,Papua New Guinea,1/10/2020,534,0,7,0,59.685,0.782,8947027
POL,Europe,Poland,1/10/2020,91514,1552,2513,30,2418.024,66.4,37846605
PRI,North America,Puerto Rico,1/10/2020,48755,288,661,7,17042.197,231.051,2860840
PRT,Europe,Portugal,1/10/2020,75542,825,1971,8,7408.47,193.298,10196707
PRY,South America,Paraguay,1/10/2020,40758,657,857,16,5714.382,120.154,7132530
PSE,Asia,Palestine,1/10/2020,50541,426,368,8,9907.249,72.137,5101416
PYF,Oceania,French Polynesia,1/10/2020,1666,0,7,0,5930.852,24.92,280904
QAT,Asia,Qatar,1/10/2020,125760,227,214,0,43650.601,74.278,2881060
ROU,Europe,Romania,1/10/2020,127572,2158,4825,33,6631.36,250.81,19237682
RUS,Europe,Russia,1/10/2020,1176286,8481,20722,177,8060.372,141.995,145934460
RWA,Africa,Rwanda,1/10/2020,4840,4,29,0,373.681,2.239,12952209
SAU,Asia,Saudi Arabia,1/10/2020,334605,418,4768,29,9611.256,136.957,34813867
SDN,Africa,Sudan,1/10/2020,13640,34,836,0,311.066,19.065,43849269
SEN,Africa,Senegal,1/10/2020,14982,37,311,1,894.772,18.574,16743930
SGP,Asia,Singapore,1/10/2020,57742,0,27,0,9869.849,4.615,5850343
SLE,Africa,Sierra Leone,1/10/2020,2231,9,72,0,279.68,9.026,7976985
SLV,North America,El Salvador,1/10/2020,29077,96,843,0,4482.901,129.968,6486201
SMR,Europe,San Marino,1/10/2020,749,3,42,0,22069.656,1237.551,33938
SOM,Africa,Somalia,1/10/2020,3588,0,99,0,225.757,6.229,15893219
SRB,Europe,Serbia,1/10/2020,33551,72,749,0,4930.638,110.073,6804596
SSD,Africa,South Sudan,1/10/2020,2704,4,49,0,241.564,4.377,11193729
STP,Africa,Sao Tome and Principe,1/10/2020,911,0,15,0,4156.761,68.443,219161
SUR,South America,Suriname,1/10/2020,4877,14,104,0,8313.531,177.283,586634
SVK,Europe,Slovakia,1/10/2020,10141,567,48,3,1857.447,8.792,5459643
SVN,Europe,Slovenia,1/10/2020,5690,203,138,0,2736.982,66.38,2078932
SWE,Europe,Sweden,1/10/2020,92863,397,5893,3,9195.021,583.508,10099270
SWZ,Africa,Swaziland,1/10/2020,5482,20,109,1,4725.194,93.952,1160164
SXM,North America,Sint Maarten (Dutch part),1/10/2020,667,8,22,0,15554.312,513.036,42882
SYC,Africa,Seychelles,1/10/2020,144,1,0,0,1464.308,0,98340
SYR,Asia,Syria,1/10/2020,4200,52,200,3,239.991,11.428,17500657
TCA,North America,Turks and Caicos Islands,1/10/2020,689,3,6,0,17795.341,154.967,38718
TCD,Africa,Chad,1/10/2020,1200,7,85,0,73.056,5.175,16425859
TGO,Africa,Togo,1/10/2020,1784,25,48,0,215.492,5.798,8278737
THA,Asia,Thailand,1/10/2020,3569,5,59,0,51.132,0.845,69799978
TJK,Asia,Tajikistan,1/10/2020,9769,43,76,1,1024.257,7.968,9537642
TLS,Asia,Timor,1/10/2020,28,0,0,0,21.237,0,1318442
TTO,North America,Trinidad and Tobago,1/10/2020,4531,68,76,2,3237.606,54.305,1399491
TUN,Africa,Tunisia,1/10/2020,18413,1008,265,19,1557.966,22.422,11818618
TUR,Asia,Turkey,1/10/2020,318663,1391,8195,65,3778.356,97.167,84339067
TWN,Asia,Taiwan,1/10/2020,514,0,7,0,21.581,0.294,23816775
TZA,Africa,Tanzania,1/10/2020,509,0,21,0,8.521,0.352,59734213
UGA,Africa,Uganda,1/10/2020,8129,112,75,0,177.718,1.64,45741000
UKR,Europe,Ukraine,1/10/2020,208959,4027,4129,64,4777.979,94.412,43733759
URY,South America,Uruguay,1/10/2020,2046,13,48,0,588.993,13.818,3473727
USA,North America,United States,1/10/2020,7233043,41982,206928,930,21851.919,625.155,331002647
UZB,Asia,Uzbekistan,1/10/2020,56997,478,471,3,1702.969,14.073,33469199
VAT,Europe,Vatican,1/10/2020,12,0,0,0,14833.127,0,809
VCT,North America,Saint Vincent and the Grenadines,1/10/2020,64,0,0,0,576.852,0,110947
VEN,South America,Venezuela,1/10/2020,75122,759,628,7,2641.797,22.085,28435943
VGB,North America,British Virgin Islands,1/10/2020,71,0,1,0,2348.117,33.072,30237
VIR,North America,United States Virgin Islands,1/10/2020,1318,0,20,0,12621.74,191.529,104423
VNM,Asia,Vietnam,1/10/2020,1094,0,35,0,11.239,0.36,97338583
OWID_KOS,Europe,Kosovo,1/10/2020,15620,46,625,0,8081.648,323.369,1932774
YEM,Asia,Yemen,1/10/2020,2035,0,588,0,68.229,19.714,29825968
ZAF,Africa,South Africa,1/10/2020,674339,1767,16734,67,11369.986,282.151,59308690
ZMB,Africa,Zambia,1/10/2020,14759,44,332,0,802.82,18.059,18383956
ZWE,Africa,Zimbabwe,1/10/2020,7838,1,228,0,527.352,15.34,14862927
KOR,Asia,Korea,15/08/2020,15039,166,305,0,293.334,5.949,51269183
ESP,Europe,Spain,17/09/2020,625651,11291,30405,162,13381.54,650.308,46754783
NLD,Europe,Netherlands,18/09/2020,87987,1750,6257,6,5134.967,365.162,17134873
