SGP,Asia,Singapore,15/08/2020,55580,83,27,0,9500.298,4.615,5850343,7915.731,
SXM,North America,Sint Maarten (Dutch part),15/08/2020,269,6,17,0,6273.028,396.437,42882,1209.088,
SVK,Europe,Slovakia,15/08/2020,2801,62,31,0,513.037,5.678,5459643,113.128,
SVN,Europe,Slovenia,15/08/2020,2369,37,124,0,1139.527,59.646,2078932,102.619,
SOM,Africa,Somalia,15/08/2020,3250,23,93,0,204.49,5.852,15893219,23.5,
ZAF,Africa,South Africa,15/08/2020,579140,6275,11556,286,9764.842,194.845,59308690,46.754,
KOR,Asia,South Korea,15/08/2020,15039,166,305,0,293.334,5.949,51269183,527.967,
SSD,Africa,South Sudan,15/08/2020,2482,4,47,0,221.731,4.199,11193729,,
LKA,Asia,Sri Lanka,15/08/2020,2886,4,11,0,134.776,0.514,21413250,341.955,
SDN,Africa,Sudan,15/08/2020,12162,47,793,1,277.359,18.085,43849269,23.258,
SUR,South America,Suriname,15/08/2020,2838,77,41,1,4837.769,69.89,586634,3.612,
SWZ,Africa,Swaziland,15/08/2020,3670,71,68,3,3163.346,58.612,1160164,79.492,
SWE,Europe,Sweden,15/08/2020,84294,442,5783,7,8346.544,572.616,10099270,24.718,
CHE,Europe,Switzerland,15/08/2020,37580,268,1715,1,4342.19,198.16,8654618,214.243,
SYR,Asia,Syria,15/08/2020,1515,83,58,3,86.568,3.314,17500657,,
TWN,Asia,Taiwan,15/08/2020,482,1,7,0,20.238,0.294,23816775,,
TJK,Asia,Tajikistan,15/08/2020,7989,39,63,0,837.628,6.605,9537642,64.281,
TZA,Africa,Tanzania,15/08/2020,509,0,21,0,8.521,0.352,59734213,64.699,
THA,Asia,Thailand,15/08/2020,3376,0,58,0,48.367,0.831,69799978,135.132,
TLS,Asia,Timor,15/08/2020,25,0,0,0,18.962,0,1318442,87.176,
TGO,Africa,Togo,15/08/2020,1124,20,26,0,135.77,3.141,8278737,143.366,
